managing_agency,fms_id,year-month_reported,total_budget,spend_to_date,spend_to_date_percent,budget_variance,budget_variance_percent
39,LQBP-XCES,202305,371000,0,0,,
39,LQBP-XCES,202309,558000,0,0,187000,0.504
39,LQBR-ROOF,201902,1002000,,,,
39,LQBR-ROOF,202305,900000,0,0,-102000,-0.1017
39,LQBR-ROOF,202309,900000,0,0,0,0
39,LQCA19LHS,201902,150000,,,,
39,LQCA19LHS,202305,136000,0,0,-14000,-0.0933
39,LQCA19LHS,202309,136000,0,0,0,0
39,LQCA19QVB,202305,13991000,0,0,,
39,LQCA19QVB,202309,13991000,0,0,0,0
39,LQCA19WSD,201902,16156000,,,,
39,LQCA19WSD,202305,16972000,0,0,816000,0.0505
39,LQCA19WSD,202309,16972000,0,0,0,0
39,LQCA20MGR,201910,1000000,,,,
39,LQCA20MGR,202305,908000,0,0,-92000,-0.092
39,LQCA20MGR,202309,908000,0,0,0,0
39,LQCC-XCES,202104,494000,,,,
39,LQCC-XCES,202305,6186000,0,0,5692000,11.5222
39,LQCC-XCES,202309,6261000,0,0,75000,0.0121
39,LQCELHVAC,201902,2000000,,,,
39,LQCELHVAC,202305,13239000,0,0,11239000,5.6195
39,LQCELHVAC,202309,13239000,0,0,0,0
39,LQCH-RES,202309,2800000,0,0,,
39,LQCORENOV,201902,31064000,,,,
39,LQCORENOV,202305,26223000,0,0,-4841000,-0.1558
39,LQCORENOV,202309,26223000,0,0,0,0
39,LQFL-REP,202203,5443000,,,,
39,LQFL-REP,202305,5400000,0,0,-43000,-0.0079
39,LQFL-REP,202309,5400000,0,0,0,0
39,LQHILRENO,201902,1450000,,,,
39,LQHILRENO,202305,1314000,0,0,-136000,-0.0937
39,LQHILRENO,202309,1314000,0,0,0,0
39,LQJH-FFE,202305,8704000,0,0,,
39,LQJH-FFE,202309,8194000,0,0,-510000,-0.0585
39,LQLAHEXTR,201902,1116000,,,,
39,LQLAHEXTR,202305,1009000,0,0,-107000,-0.0958
39,LQLAHEXTR,202309,1009000,0,0,0,0
39,LQLFK-INT,201902,5000000,,,,
39,LQLFK-INT,202305,4849000,0,0,-151000,-0.0302
39,LQLFK-INT,202309,4849000,0,0,0,0
39,LQLI-ROOF,201902,1057000,,,,
39,LQLI-ROOF,202305,950000,0,0,-107000,-0.1012
39,LQLI-ROOF,202309,950000,0,0,0,0
39,LQMARN-23,202309,14420000,0,0,,
39,LQNFP-ADA,202104,200000,,,,
39,LQNFP-ADA,202305,8064000,0,0,7864000,39.32
39,LQNFP-ADA,202309,8064000,0,0,0,0
39,LQNO-HVAC,201902,850000,,,,
39,LQNO-HVAC,202305,773000,0,0,-77000,-0.0905
39,LQNO-HVAC,202309,773000,0,0,0,0
39,LQOZCCTV,202305,98145,97145,0.9898,,
39,LQOZCCTV,202309,98145,97145,0.9898,0,0
39,LQPHRS-23,202305,300000,0,0,,
39,LQPHRS-23,202309,300000,0,0,0,0
39,LQPMRN-23,202305,3000000,0,0,,
39,LQPMRN-23,202309,3000000,0,0,0,0
39,LQPOMHVAC,201710,500000,,,,
39,LQPOMHVAC,202305,453000,0,0,-47000,-0.094
39,LQPOMHVAC,202309,453000,0,0,0,0
39,LQQA21CTQ,202004,1000000,,,,
